libidl2 0.8.14-3
libidn 1.28-2
libiec61883 1.2.0-4
libimobiledevice 1.1.6-1
libirman 0.4.5-3
libjpeg-turbo 1.3.1-1
libkate 0.4.1-4
libkeybinder2 0.3.0-2
libksba 1.3.0-1
liblastfm 1.0.8-1
libldap 2.4.39-1
liblrdf 0.5.0-2
libltdl 2.4.2-13
libmad 0.15.1b-7
libmatroska 1.4.1-1
libmm-glib 1.2.0-3
libmms 0.6.4-1
libmng 2.0.2-3
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.2-2
libmpcdec 1.2.6-3
libmpeg2 0.5.1-4
libmspub 0.0.6-2
libmtp 1.1.6-6
libmygpo-qt 1.0.7-1
libnl 3.2.24-1
libnotify 0.7.6-1
libodfgen 0.0.4-1
libofa 0.9.3-5
libogg 1.3.1-2
libpaper 1.1.24-7
libpcap 1.5.3-1
libpciaccess 0.13.2-2
libpeas 1.10.0-1
libpipeline 1.3.0-1
libplist 1.11-1
libpng 1.6.10-1
libproxy 0.4.11-2
libpulse 5.0-1
libraw1394 2.1.0-2
libreoffice-af 4.2.4-2
libreoffice-calc 4.2.4-1
libreoffice-common 4.2.4-1
libreoffice-en-US 4.2.4-1
libreoffice-gnome 4.2.4-1
libreoffice-impress 4.2.4-1
libreoffice-writer 4.2.4-1
librsvg 1:2.40.2-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsidplay 1.36.59-6
libsigc++ 2.3.1-1
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.46.0-1
libspectre 0.2.7-1
libspiro 20071029-3
libssh2 1.4.3-2
libsystemd 212-3
libtar 1.2.20-1
libtasn1 3.6-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-4
libtiger 0.3.4-3
libtirpc 0.2.4-1
libtool 2.4.2-13
libtxc_dxtn 1.0.1-5
libunistring 0.9.3-6
libupnp 1.6.19-1
